id,collecter,counter,customer_id
1,1Κεντρικό,,54
2,2Γέφυρα,,54
3,3Λούτρα,,54
4,4Αόρι,,54
5,Παπ01,004229ca/99,10
6,Μηλ8,FD001619-07,5
7,Γεφ15,Fd001444-05,12
8,Δεξ1Β,004242CA/99,6
9,Δεξ3,1532010239,6
10,Μηλ1,005303CA/99,6
11,Γεφ20,004308ca/99,28
12,Μηλ2,006599CA/98,43
13,Δεξ1,2032010305,23
14,Γεφ02,924803,3
15,Μηλ7,1933003191,44
16,Τσ04,FC003280-08,44
17,Γεφ12,004306ca/99,14
18,Δεξ4Α,FC000794-06,38
19,Τσ16,536096,32
20,Δεξ1Α,7082411,45
21,Τσ01,004135CA/99,15
22,Δεξ4,1532007166,46
23,Γεφ18,1295-2-528,4
24,Μηλ9,1832012272παλιόνέο,47
25,Μηλ3,16 025968,48
26,Τσ12,090559BA/95,49
27,Παπ12,7082650,21
28,Δεξ5Α,2132002569,50
29,Γεφ16,1994-ce002848,39
30,Μηλ4,002587ca/99,39
31,Παπ10,004230ca/99,39
32,Γεφ17,44952170,51
33,Γεφ19,12-023779,51
34,Τσ10,093241CA/95,52
35,Δεξ2,16 018269,53
