id,field,olivesNumber,customer_id
1,,,1
2,,,2
3,,,3
4,,,4
5,,,5
6,,,6
7,,,7
8,,,8
9,,,9
10,,,10
11,,,11
12,,,12
13,,,13
14,,,14
15,,,15
16,,,16
17,,,17
18,Αργουλίδα,,6
19,Σπίθοι,300,1
20,Γριάς Πλάγια,300,8
21,Πετσοκόλι,130,18
22,Ηρώ,350,2
23,Σοφοκλή,150,19
24,Λούτρα,100,20
25,,,21
26,,,22
27,Κεφάλα,160,4
28,Σμαϊλη,,15
29,Κεφάλα-Κόρνια,500,23
30,Καμπιά,400,20
31,,100,23
32,Κομάτα,160,16
33,Κουφωτός,200,8
34,Χαμετιανά,,15
35,Συνοικισμός,,20
36,Συνοικισμός,,21
37,,390,3
38,Χατζ. Αργουλίδα,100,6
39,Κεφάλα,300,7
40,Αντωνία,,6
41,Συνοικισμός,80,24
42,Αργουλίδα,,10
43,Πετσοκόλι,,14
44,Κατσικαντάρι,,10
45,Τσιγαράς,,1
46,,,23
47,,,25
48,Περδικόσελο,,14
49,Περδικόσελο-Γεώτρηση,,14
50,Αμυγδαλές,,10
51,Λούτρα,,10
52,Χαμετιανά,,26
53,,,27
54,,,28
55,,,20
56,,,29
57,,,30
58,,,26
59,,,19
60,,,31
61,,,32
62,,,24
63,,,33
64,,,34
65,,,35
66,,,36
67,,,37
68,,,38
69,,,39
70,,,40
71,,,41
72,,,42
73,,,43
74,,,44
75,,,45
76,,,46
77,,,47
78,,,48
79,,,49
80,,,50
81,,,51
82,,,52
83,,,53
